2015-05-22 11:42:08 147.251.236.219 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /clear/VB035/1 
2015-05-22 11:42:23 147.251.236.219 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /validate/VB035/1/2310/3 
2015-05-24 14:15:51 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PB071/1 	 
2015-05-24 14:15:54 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PB071/2 	 
2015-05-24 14:15:55 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PB071/3 	 
2015-05-24 14:15:56 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PB071/4 	 
2015-05-24 14:15:57 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PB071/5 	 
2015-05-24 14:16:34 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/1 	 
2015-05-24 14:16:36 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/2 	 
2015-05-24 14:16:37 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/3 	 
2015-05-24 14:16:38 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/4 	 
2015-05-24 14:16:46 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /validate/PV004/4/210/0 	 OK 
2015-05-24 14:16:51 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /validate/PV004/17/13240/0 	 OK 
2015-05-24 14:16:53 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/18 	 
2015-05-24 14:16:58 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /validate/PV004/4/210/2 	 BAD 
2015-05-24 14:17:01 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /validate/PV004/4/210/1 	 BAD 
2015-05-24 14:17:04 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /validate/PV004/18/1320/0 	 OK 
2015-05-24 14:17:05 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/19 	 
2015-05-24 14:17:06 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/5 	 
2015-05-24 14:17:07 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/4 	 
2015-05-24 14:17:09 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/4 	 
2015-05-24 14:17:14 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /validate/PV004/19/13240/0 	 OK 
2015-05-24 14:17:16 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/20 	 
2015-05-24 14:17:36 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /validate/PV004/20/13204/2 	 BAD 
2015-05-24 14:17:45 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/21 	 
2015-05-24 14:20:43 147.251.229.58 	 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/4 	 
2015-05-24 14:21:20 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/21 	 
2015-05-24 14:21:21 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/21 	 
2015-05-24 14:21:22 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/21 	 
2015-05-24 14:21:22 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/21 	 
2015-05-24 14:21:24 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/21 	 
2015-05-24 14:21:25 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/21 	 
2015-05-24 14:21:25 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/21 	 
2015-05-24 14:21:25 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/21 	 
2015-05-24 14:21:25 87.244.251.89 	 Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 	 /question/PV004/21 	 
